config,fold,rmse_mkt,mae_mkt,n_test,sigma_fixed,rmse_spread,rmse_otm,rmse_atm,rmse_itm,rmse_wing,best_val_epoch,arb_butterfly%,arb_calendar%,elapsed_s
BS_A1,Apr2020,3.046770686998724,2.37896695865407,3094,0.7293615,,,,,,,,,
BS_A1,May2020,2.57565887971072,1.5324638694053725,3188,0.7755775,,,,,,,,,
BS_A1,Jun2020,2.72364553249037,1.628745792984849,3265,0.737551,,,,,,,,,
BS_A1,Jul2020,8.868565147728033,6.403178383118032,5083,0.711693,,,,,,,,,
BS_A1,Aug2020,5.3242207643353385,3.357427373160922,5167,0.732539,,,,,,,,,
BS_A1,Sep2020,15.153293124155262,12.958170467759485,6361,0.7371,,,,,,,,,
BS_A1,Oct2020,5.4335997160959435,3.971433644836436,5968,0.7763340000000001,,,,,,,,,
BS_A1,Nov2020,7.347201865096857,5.415224428660672,6420,0.771868,,,,,,,,,
BS_A1,Dec2020,12.117764615534366,9.059168352139048,5438,0.754787,,,,,,,,,
GAM_A2,Apr2020,3.3598,,3094,0.6848,30.2697,3.195,3.7674,3.4401,3.250972664623471,,,,0.3511
GAM_A2,Aug2020,6.0444,,5167,0.7117,24.072,6.0855,5.4308,6.4697,6.214920843370205,,,,0.5936
GAM_A2,Dec2020,12.4296,,5438,0.7719,45.2651,13.5455,12.4359,10.3401,12.428225404094949,,,,2.2436
GAM_A2,Jul2020,8.5631,,5083,0.7376,27.9468,8.8856,8.4677,7.5773,8.583376314066465,,,,0.3028
GAM_A2,Jun2020,2.2779,,3265,0.7756,34.0142,1.9194,3.0525,2.2447,2.003582413136858,,,,0.2865
GAM_A2,May2020,1.8718,,3188,0.7294,26.2934,1.7731,2.1874,1.7471,1.768352744384284,,,,0.199
GAM_A2,Nov2020,11.0215,,6420,0.7763,70.207,11.1266,11.7523,10.2458,10.860934192319739,,,,1.697
GAM_A2,Oct2020,4.8256,,5968,0.7371,33.2652,4.9021,4.954,4.385,4.792823349342747,,,,1.4465
GAM_A2,Sep2020,14.9653,,6361,0.7325,48.8811,15.033,15.7752,14.0734,14.781336192498511,,,,1.1487
LAGP_A3,Apr2020,3.3208,,3094,0.6848,29.7626,3.1396,3.7353,3.4456,3.2099660396655993,,,,112.7428
LAGP_A3,Aug2020,6.3153,,5167,0.7117,24.241,6.1346,5.5987,7.2202,6.512942023787781,,,,180.8816
LAGP_A3,Dec2020,13.4107,,5438,0.7719,44.274,14.616,13.6678,10.9788,13.354489489863838,,,,189.3896
LAGP_A3,Jul2020,8.656,,5083,0.7376,28.0,9.0049,8.455,7.6783,8.698481490678093,,,,169.1651
LAGP_A3,Jun2020,2.3828,,3265,0.7756,34.3781,2.0334,3.1893,2.2846,2.0974419154086203,,,,113.3371
LAGP_A3,May2020,1.9416,,3188,0.7294,26.7216,1.8527,2.256,1.7774,1.8390389239929206,,,,105.3075
LAGP_A3,Nov2020,13.3849,,6420,0.7763,72.0872,13.5689,14.135,12.4132,13.221084526661212,,,,225.7367
LAGP_A3,Oct2020,12.702,,5968,0.7371,107.0238,13.1687,12.5022,11.1541,12.75155845955808,,,,208.5778
LAGP_A3,Sep2020,17.1839,,6361,0.7325,59.1388,16.5757,17.3866,18.5862,17.138997856816307,,,,226.4717
B8_modified_hybrid_mu0.0,Apr2020,2.4601243240869857,,3094,0.684782,20.89711847216167,2.6190624929483666,2.189208975728126,2.150710006807213,2.5227087131404184,500.0,23.16,17.88,341.394478559494
B8_modified_hybrid_mu0.0,May2020,3.260827547525148,,3188,0.7293615,54.88648031578868,3.3128888054462746,3.5752149331228833,2.3854792864771333,3.16251565523915,2500.0,5.12,12.62,342.5793435573578
B8_modified_hybrid_mu0.0,Jun2020,2.0626114435760194,,3265,0.7755775,23.298002858890367,1.98019103896403,2.212521910373183,2.130717706503719,2.017940464945733,1000.0,23.97,15.41,343.84212851524353
B8_modified_hybrid_mu0.0,Jul2020,10.053060463865897,,5083,0.737551,31.693176032753247,10.591984258767319,9.870499976606192,8.365193117716181,10.091751281131051,3000.0,7.28,10.03,342.86720275878906
B8_modified_hybrid_mu0.0,Aug2020,6.7535196885524496,,5167,0.711693,37.951771315756574,7.0853415852937,6.223199618623649,6.517727270587828,6.903151080392918,3000.0,4.5,6.09,340.3955295085907
B8_modified_hybrid_mu0.0,Sep2020,15.946170108879748,,6361,0.732539,47.81604166585836,16.496027910128735,15.788971218199901,14.48441623623461,15.980507436531882,4000.0,5.09,6.56,340.80276799201965
B8_modified_hybrid_mu0.0,Oct2020,8.118111317228546,,5968,0.7371,75.58950627200207,8.461932634590164,8.4670176111935,6.260821590618412,8.028289530466363,2000.0,8.91,10.78,341.55279445648193
B8_modified_hybrid_mu0.0,Nov2020,6.119410038972538,,6420,0.7763340000000001,34.42102003046532,6.293092009752966,7.062366296471789,4.919406509969912,5.901130244904523,5500.0,5.84,5.34,335.82406187057495
B8_modified_hybrid_mu0.0,Dec2020,10.342301426003717,,5438,0.771868,38.86473865854098,10.87142194417201,10.37511848569126,9.39073556513425,10.335199241363284,6500.0,5.69,4.78,331.7939269542694
B12_modified_hybrid_mu0.25_warmup5000,Apr2020,2.4374588219384887,,3094,0.684782,25.717158722286037,2.3186128246646707,2.9662137717739703,2.1760032707638564,2.2877529747440173,1500.0,29.81,1.03,331.42663311958313
B12_modified_hybrid_mu0.25_warmup5000,May2020,2.7802400609484264,,3188,0.7293615,38.673483567454305,2.4406044858866114,3.486362833548423,2.9195171763058774,2.535652563203192,1000.0,38.19,6.81,330.4860665798187
B12_modified_hybrid_mu0.25_warmup5000,Jun2020,3.0265164984247757,,3265,0.7755775,26.22240692248856,3.001182786097794,3.2020560090006187,2.8910528508558144,2.974697801610158,9500.0,6.03,0.0,322.32829904556274
B12_modified_hybrid_mu0.25_warmup5000,Jul2020,8.669297745013596,,5083,0.737551,31.78710628399345,9.004016882248877,8.573698673646533,7.640569907408103,8.689646482550284,8000.0,10.19,0.03,319.802197933197
B12_modified_hybrid_mu0.25_warmup5000,Aug2020,5.695997600813487,,5167,0.711693,38.917691402286536,6.040203060834205,4.901113121460607,5.641203952545993,5.911483571899133,1500.0,31.81,2.06,321.00210332870483
B12_modified_hybrid_mu0.25_warmup5000,Sep2020,13.964679094877939,,6361,0.732539,44.66987680096046,13.454280552333982,14.925021668828784,14.505729073223208,13.744654238438601,5000.0,12.91,0.47,320.1311266422272
B12_modified_hybrid_mu0.25_warmup5000,Oct2020,6.038347819984142,,5968,0.7371,66.06051231154109,6.6227489364610985,4.953449497061767,4.886063856955311,6.280954360455295,1000.0,36.94,4.59,320.4961452484131
B12_modified_hybrid_mu0.25_warmup5000,Nov2020,7.166237172887075,,6420,0.7763340000000001,35.72309239438921,7.515470573084664,7.818989038802822,5.7710997418380465,7.0206930037245385,8000.0,14.59,0.0,321.239289522171
B12_modified_hybrid_mu0.25_warmup5000,Dec2020,13.246272210449844,,5438,0.771868,39.46844308133316,14.504560301349018,12.340492386010883,11.465743514324885,13.43391208288286,6500.0,10.34,0.0,332.14142870903015
B5_modified_hybrid_mu0.5,Apr2020,3.063745574702536,,3094,0.684782,26.378156241421284,2.960536599874572,3.4023233930937544,3.0206509871820075,2.973973280662209,5500.0,11.88,24.66,387.446147441864
B5_modified_hybrid_mu0.5,May2020,3.151555534322049,,3188,0.7293615,50.413606112882796,3.312395861030823,3.2087536660770937,2.1792726762713004,3.1345505028317717,4500.0,15.41,30.5,373.85261964797974
B5_modified_hybrid_mu0.5,Jun2020,2.3833957350194774,,3265,0.7755775,24.002234773442424,2.3640695876911386,2.652719156837351,2.093639222815741,2.3010433870468607,5000.0,13.81,29.88,394.8935058116913
B5_modified_hybrid_mu0.5,Jul2020,10.445400725729494,,5083,0.737551,29.42448161039591,10.991657509680994,10.306369372946833,8.69266844938625,10.47495316945586,7500.0,10.09,25.69,375.90953040122986
B5_modified_hybrid_mu0.5,Aug2020,7.964801470451855,,5167,0.711693,30.434429511815992,8.32892875667666,7.125016683701604,7.924409694823132,8.19761630152988,4000.0,18.91,24.03,374.34393525123596
B5_modified_hybrid_mu0.5,Sep2020,17.436017853790606,,6361,0.732539,47.95187022628415,17.83116593216109,17.82869449216456,15.960876423165946,17.348535219347802,11500.0,10.5,21.44,375.6982915401459
B5_modified_hybrid_mu0.5,Oct2020,9.866123797802544,,5968,0.7371,80.61518660272367,10.011846387967728,10.32236213843793,8.754901286348876,9.748431564047987,2500.0,28.12,25.12,392.10963559150696
B5_modified_hybrid_mu0.5,Nov2020,6.640680101017503,,6420,0.7763340000000001,35.98585954548556,6.621650432086276,7.922302771273761,5.653610538413553,6.337093493844514,5000.0,19.09,26.81,385.8098635673523
B5_modified_hybrid_mu0.5,Dec2020,10.628681782100559,,5438,0.771868,38.19695238830346,11.17153043973217,11.069610671062588,9.387637009043827,10.53101186873453,4000.0,21.47,26.59,395.9559724330902
B11_modified_hybrid_mu0.5_warmup5000,Apr2020,2.547332658772809,,3094,0.684782,26.74961109250968,2.3383772615411624,3.2659066192098973,2.3255100857856776,2.33552977143432,5500.0,30.53,0.44,404.42065167427063
B11_modified_hybrid_mu0.5_warmup5000,May2020,3.266942240398754,,3188,0.7293615,50.70413850199618,3.4766471442124662,3.1937955784337864,2.272794439249858,3.2881256142673663,1500.0,42.34,17.31,404.2342381477356
B11_modified_hybrid_mu0.5_warmup5000,Jun2020,2.721836393465778,,3265,0.7755775,26.087413427873884,2.589028799669925,3.000962788358838,2.7806720018287003,2.6370555536230884,10500.0,9.66,1.88,416.48258352279663
B11_modified_hybrid_mu0.5_warmup5000,Jul2020,9.118744638772027,,5083,0.737551,30.246126242309916,9.453778190373667,9.083730609683318,8.033935906976568,9.126229860866074,8500.0,11.22,0.06,364.49989318847656
B11_modified_hybrid_mu0.5_warmup5000,Aug2020,5.290384971063576,,5167,0.711693,27.879182025314503,4.539451571961649,4.910389575639797,6.815962815109702,5.398071674678827,3000.0,33.03,3.47,407.8283169269562
B11_modified_hybrid_mu0.5_warmup5000,Sep2020,15.33542075381659,,6361,0.732539,49.19550556348208,15.428283179498829,16.0833963480667,14.42826807694583,15.16611005022741,10000.0,9.94,0.44,407.97685503959656
B11_modified_hybrid_mu0.5_warmup5000,Oct2020,7.9282107990725645,,5968,0.7371,79.60235035666742,7.556369237451432,8.328611921972517,8.706250006391338,7.824647931738399,500.0,44.44,34.97,425.1632263660431
B11_modified_hybrid_mu0.5_warmup5000,Nov2020,6.474604415441039,,6420,0.7763340000000001,31.407508973774004,6.813026950491108,7.022458447223793,5.186166608213227,6.352920510626346,8500.0,12.81,0.03,427.359055519104
B11_modified_hybrid_mu0.5_warmup5000,Dec2020,10.529595412517311,,5438,0.771868,40.062272233254035,11.155113894016358,10.466883099659906,9.455152935590108,10.543092456774813,8000.0,17.56,3.0,353.09791469573975
B6_modified_hybrid_mu0.75,Apr2020,3.322103749639347,,3094,0.684782,25.358163212261193,3.2728987914923877,3.4874796279526525,3.3042261054973223,3.279872202570791,5500.0,29.5,40.09,392.8171818256378
B6_modified_hybrid_mu0.75,May2020,3.057710290532461,,3188,0.7293615,45.94375277523069,3.055867144522995,3.4483472046727615,2.3122520963383133,2.9330563017701676,4500.0,31.47,46.06,376.1339156627655
B6_modified_hybrid_mu0.75,Jun2020,2.535791010702916,,3265,0.7755775,26.007364371104458,2.4228446352905055,2.9926257464789905,2.285011605395989,2.389959895047629,6500.0,27.31,45.22,366.59184861183167
B6_modified_hybrid_mu0.75,Jul2020,10.108412313917773,,5083,0.737551,28.31802057346685,10.662063983398147,9.86925926440752,8.422537903556274,10.158927322696334,15000.0,16.16,40.0,381.1272807121277
B6_modified_hybrid_mu0.75,Aug2020,7.38688897968164,,5167,0.711693,33.04764288437058,7.480557022971138,7.1332117687910594,7.4197901189147695,7.460554396927419,4000.0,39.28,38.09,382.3096139431
B6_modified_hybrid_mu0.75,Sep2020,18.215750089645155,,6361,0.732539,47.66387183716476,18.7943776528555,18.447039749606446,16.327226175830255,18.164530981069245,10000.0,26.0,38.59,389.9624352455139
B6_modified_hybrid_mu0.75,Oct2020,8.077578992559106,,5968,0.7371,42.30691432851136,8.30304235822795,7.58423036779205,7.808938409437205,8.196573804524395,8000.0,30.78,36.31,397.0196068286896
B6_modified_hybrid_mu0.75,Nov2020,7.219880501423043,,6420,0.7763340000000001,30.866128891919466,7.352971391646955,8.24340581239613,6.08685882856964,6.984675983930815,4000.0,39.19,44.66,347.5203080177307
B6_modified_hybrid_mu0.75,Dec2020,11.174908763706338,,5438,0.771868,39.93224309063237,12.23663406986336,11.166554527843042,9.17938595304317,11.176712157430051,7000.0,34.25,38.16,328.3013632297516
B9_modified_hybrid_mu0.75_fixdata1000.0,Apr2020,2.935740750069057,,3094,0.684782,24.489193294906514,3.0113570583007454,2.987535924954021,2.5880586861166983,2.9227755493464356,6500.0,20.62,23.12,347.3531858921051
B9_modified_hybrid_mu0.75_fixdata1000.0,May2020,3.0080547109739664,,3188,0.7293615,46.73646718697506,2.722244637423791,3.5926043093293205,3.185323100526766,2.8133025902664395,3500.0,37.25,35.25,343.502028465271
B9_modified_hybrid_mu0.75_fixdata1000.0,Jun2020,1.8237338010326771,,3265,0.7755775,16.852695968564852,1.8926284442897807,1.6923836000885617,1.7523861135902186,1.859398579551842,6000.0,25.28,26.34,343.9474678039551
B9_modified_hybrid_mu0.75_fixdata1000.0,Jul2020,10.164284747995003,,5083,0.737551,30.84312958397602,10.251758686727173,10.56649946873864,9.514328542366286,10.076006761960848,6000.0,23.06,23.62,344.99560165405273
B9_modified_hybrid_mu0.75_fixdata1000.0,Aug2020,7.853651586104407,,5167,0.711693,47.97162247415028,8.22181596573697,7.541805069102365,7.347555188826533,7.943893457077872,5500.0,27.16,22.72,342.83609318733215
B9_modified_hybrid_mu0.75_fixdata1000.0,Sep2020,17.093767958021207,,6361,0.732539,49.634323869255866,17.551480574934768,17.866432886386963,15.064236859383323,16.919245376019575,6500.0,27.88,21.78,343.29565167427063
B9_modified_hybrid_mu0.75_fixdata1000.0,Oct2020,9.777194386789994,,5968,0.7371,88.96324210054517,11.390855829626043,6.666552706183515,5.7489650788366085,10.412172787278237,3000.0,38.5,38.16,344.1016433238983
B9_modified_hybrid_mu0.75_fixdata1000.0,Nov2020,5.958697200945398,,6420,0.7763340000000001,33.11963117015876,6.169303304960744,6.955952633037781,4.590025020873987,5.726026046630524,8500.0,20.78,18.25,346.2778284549713
B9_modified_hybrid_mu0.75_fixdata1000.0,Dec2020,10.305840503020779,,5438,0.771868,45.50426668054995,10.929008033698583,10.878674624888959,8.809898227826515,10.177868744827718,6000.0,29.38,23.19,344.08151364326477
B10_modified_hybrid_mu0.75_warmup5000,Apr2020,2.340695057079056,,3094,0.684782,29.972903082591927,2.5348353238443453,2.056351147044973,1.8849750052975744,2.405908792608954,2500.0,43.0,32.25,328.2401478290558
B10_modified_hybrid_mu0.75_warmup5000,May2020,3.0025026483564847,,3188,0.7293615,46.5338141513569,3.0806318633096694,3.176570017950981,2.2793898184949826,2.9494041625405916,4500.0,39.28,19.72,327.8924067020416
B10_modified_hybrid_mu0.75_warmup5000,Jun2020,2.128072810968305,,3265,0.7755775,23.70566224902027,1.9423313223523022,2.4607537109739206,2.2565898471266865,2.0234850239073383,8500.0,18.5,14.88,326.4759657382965
B10_modified_hybrid_mu0.75_warmup5000,Jul2020,9.898176389074642,,5083,0.737551,28.55582388427996,10.350138926175784,9.897404748201485,8.354722641224745,9.898341544313302,11000.0,12.81,18.78,321.2853915691376
B10_modified_hybrid_mu0.75_warmup5000,Aug2020,5.594134507615764,,5167,0.711693,50.34382269792146,5.746729087827243,5.162651239958379,5.653086039749765,5.7159899185472005,5500.0,36.78,14.31,320.53186082839966
B10_modified_hybrid_mu0.75_warmup5000,Sep2020,14.482200177921767,,6361,0.732539,51.508976480538124,13.970535610109971,15.804201005282037,14.71786473880177,14.175175287773973,5000.0,40.28,21.03,319.2622756958008
B10_modified_hybrid_mu0.75_warmup5000,Oct2020,5.623272467072979,,5968,0.7371,52.70647194592515,5.746852108388296,6.028609740167918,4.614570370512943,5.517018158253378,5000.0,35.75,18.72,317.88262701034546
B10_modified_hybrid_mu0.75_warmup5000,Nov2020,7.536605890512629,,6420,0.7763340000000001,39.35230283373207,7.480338126908997,9.543280426341868,5.946753906870149,7.040277340732215,5000.0,37.16,17.28,322.2972354888916
B10_modified_hybrid_mu0.75_warmup5000,Dec2020,10.15170533379781,,5438,0.771868,38.98240024040498,10.50071642616491,10.297556853352795,9.46299266027907,10.119923596005961,8500.0,24.5,13.66,322.847843170166
B7_modified_hybrid_mu1.0,Apr2020,3.8870610617121764,,3094,0.684782,25.512641517131108,4.011307336104917,3.781701935802186,3.545081895571218,3.912707540446131,5500.0,42.81,46.22,347.2258355617523
B7_modified_hybrid_mu1.0,May2020,2.828320770118852,,3188,0.7293615,35.11113383167863,2.957383155339795,2.742994135642321,2.3348548622488443,2.8529073408218215,8000.0,41.84,48.28,333.91207933425903
B7_modified_hybrid_mu1.0,Jun2020,2.966034917478189,,3265,0.7755775,24.057134328469157,2.9891208855957085,3.1545197625217676,2.650639086957037,2.910196663469725,5000.0,44.91,49.22,331.8155508041382
B7_modified_hybrid_mu1.0,Jul2020,11.129075547669748,,5083,0.737551,31.95568413559123,11.146926727788406,11.625603099878193,10.618560641856119,11.019766718285917,4500.0,45.25,46.88,353.8504617214203
B7_modified_hybrid_mu1.0,Aug2020,8.599318785722437,,5167,0.711693,33.40603001116752,8.861741675887483,7.666152305200163,8.848887843375504,8.857501070114433,6500.0,43.59,45.47,355.15594005584717
B7_modified_hybrid_mu1.0,Sep2020,18.855553909158747,,6361,0.732539,48.6872956632442,19.476088899068127,18.71823662097883,17.17552118094991,18.88559662354941,13000.0,38.84,49.38,356.49630522727966
B7_modified_hybrid_mu1.0,Oct2020,8.91724472451422,,5968,0.7371,49.33576214343363,9.244236611371617,7.244864329683365,9.446843665216585,9.28932430605001,6500.0,43.09,46.56,335.992116689682
B7_modified_hybrid_mu1.0,Nov2020,7.804658213941761,,6420,0.7763340000000001,35.72737067818347,8.252611264932964,7.822678133140182,6.688420845330781,7.800849311223717,5000.0,45.5,49.56,330.7902810573578
B7_modified_hybrid_mu1.0,Dec2020,12.099327828831052,,5438,0.771868,46.60462214676971,13.129738114540892,11.920912795540533,10.30752885903993,12.137522810407665,7000.0,43.5,46.12,330.43058824539185
B2_modified_physics_mu0.5,Apr2020,3.186070402950406,,3094,0.684782,36.82010899810308,2.9414223207119345,3.900594440076124,3.123882328538772,2.982850539803317,14000.0,14.09,0.28,338.21866846084595
B2_modified_physics_mu0.5,May2020,1.8708366346306984,,3188,0.7293615,18.535752102965358,2.0079019552685815,1.7612923084057261,1.3344637802184167,1.90182515637182,14000.0,13.47,0.25,339.12240505218506
B2_modified_physics_mu0.5,Jun2020,3.5772330422429217,,3265,0.7755775,25.94595927018752,3.648980790447254,3.6459027359527383,3.2574441246631416,3.5574597244473627,11000.0,16.91,0.22,343.89884662628174
B2_modified_physics_mu0.5,Jul2020,8.286052506594567,,5083,0.737551,29.289373519094916,8.554121085158718,8.245621874688073,7.439037846563381,8.294690967998667,10500.0,17.78,0.25,346.185183763504
B2_modified_physics_mu0.5,Aug2020,5.7491098237241,,5167,0.711693,24.241498143536447,5.654117323917718,5.173416807842468,6.395909708778862,5.909265179744913,12000.0,14.91,0.31,340.3073341846466
B2_modified_physics_mu0.5,Sep2020,15.267187515071095,,6361,0.732539,54.8784109984216,15.105671852081894,16.235029686390337,14.88295250145614,15.046162588147016,12000.0,15.34,0.34,336.8479917049408
B2_modified_physics_mu0.5,Oct2020,4.383493347599805,,5968,0.7371,27.904391716676926,4.4223618083670235,4.592097725175122,3.984916221411269,4.329636095533363,12000.0,18.34,0.25,344.6420376300812
B2_modified_physics_mu0.5,Nov2020,7.618492831381208,,6420,0.7763340000000001,33.377953391208244,7.9895522929918155,8.175600325581364,6.259742027492816,7.495600659824155,11000.0,19.06,0.28,326.84245252609253
B2_modified_physics_mu0.5,Dec2020,13.553518191584839,,5438,0.771868,39.50597368249126,15.005423038413722,12.618025870291836,11.389350813233504,13.747236823919701,13000.0,17.16,0.22,338.96078538894653
B3_modified_physics_mu0.75,Apr2020,3.2380942463327846,,3094,0.684782,37.67469114592947,2.9684776259017474,4.0031741592068375,3.1894408362613285,3.018877551120912,13500.0,24.25,0.41,345.78453159332275
B3_modified_physics_mu0.75,May2020,1.822250132071956,,3188,0.7293615,16.869052462756084,1.977468381408763,1.655329578665949,1.2787210539832583,1.868464161926219,14500.0,23.03,0.38,352.50638365745544
B3_modified_physics_mu0.75,Jun2020,3.630763721976946,,3265,0.7755775,27.501117894583142,3.694697275404421,3.72729301180967,3.3018660384602976,3.6028363488577675,15000.0,25.59,0.38,359.4597599506378
B3_modified_physics_mu0.75,Jul2020,8.081334983350349,,5083,0.737551,28.0715269204839,8.361853818859469,8.023407338650228,7.205348262612038,8.093693764597006,12500.0,24.66,0.88,354.13756108283997
B3_modified_physics_mu0.75,Aug2020,5.6775820085413145,,5167,0.711693,23.323888482628014,5.578234106129606,5.177588709697578,6.275929340918787,5.817780746530096,14000.0,24.22,0.31,337.4356880187988
B3_modified_physics_mu0.75,Sep2020,15.424567070011408,,6361,0.732539,56.32602113703206,15.294317498507393,16.426567916270685,14.923259412228076,15.195523582973056,15000.0,24.75,0.09,338.3274199962616
B3_modified_physics_mu0.75,Oct2020,4.3647755502494014,,5968,0.7371,27.738639802083032,4.392943268236648,4.589149389545433,3.9872505183827838,4.306709507806289,15000.0,25.19,0.53,321.9807789325714
B3_modified_physics_mu0.75,Nov2020,7.656886496843555,,6420,0.7763340000000001,33.73646030475161,8.009459797810038,8.280750096618375,6.291923036538223,7.518579559684942,15000.0,25.59,0.41,343.11808800697327
B3_modified_physics_mu0.75,Dec2020,13.516758596805861,,5438,0.771868,39.13235855197566,14.913930537948252,12.62138910705626,11.443826832243298,13.702485904707004,15000.0,25.12,0.28,332.7444553375244
B4_modified_physics_mu1.0,Apr2020,2.952908692951609,,3094,0.684782,33.64678548150664,2.698881078419975,3.6514676730103885,2.93382234727001,2.752715922543918,15000.0,39.06,23.19,354.0112760066986
